,EMP_ID,NAME,AGE,GENDER,ADDRESS,EMAIL,MOBILE_NO,AADHAAR_NO,DATE_OF_BIRTH,DESIGNATION,ANNUAL_SAL,GROSS_SAL,NET_SAL
12,559996,Divyansh Wable,34,,Amaravati,divyansh.wable34@synnotech.com,6670271210,174081940316,1990-02-13,Software Tester,1095600,91300.0,86300.0
13,839464,Prisha Goyal,45,Male,Sultan Pur Majra,prisha.goyal45@synnotech.com,7107160817,271240495191,1979-07-29,Java Developer,959239,79936.58333333333,74936.58333333333
14,768370,Romil Chacko,49,,Panihati,romil.chacko49@synnotech.com,7856656918,672462938020,1975-02-08,Python Developer,1198822,99901.83333333331,94901.83333333331
15,751965,Kaira Bhagat,37,Female,Katni,kaira.bhagat37@synnotech.com,9827284490,477432076823,1987-07-13,Data Engineer,1166895,97241.25,92241.25
16,863330,Dhanush Doshi,54,Female,Vellore,dhanush.doshi54@synnotech.com,8945199770,726477500750,1970-10-05,ML Engineer,1199556,99963.0,94963.0
17,850221,Armaan Hari,30,Female,Tirunelveli,armaan.hari30@synnotech.com,9043147974,54587235808,1994-03-01,ML Engineer,1869933,155827.75,150827.75
18,790979,Biju Ben,33,Male,Srinagar,biju.ben33@synnotech.com,6153392618,892534008114,1991-11-02,ML Engineer,1863226,155268.83333333334,150268.83333333334
19,504596,Drishya Lad,48,Female,Karimnagar,drishya.lad48@synnotech.com,6985758181,81530697873,1976-06-03,ML Engineer,1087763,90646.91666666669,85646.91666666667
20,873419,Mehul Cherian,53,Female,Bokaro,mehul.cherian53@synnotech.com,9080872751,974840372290,1971-02-26,ML Engineer,1992497,166041.41666666666,161041.41666666666
21,792146,Yasmin Gara,48,,Sagar,yasmin.gara48@synnotech.com,6219703315,212071279549,1976-02-19,Data Engineer,1037833,86486.08333333333,81486.08333333333
22,868863,Rati Date,46,Male,Kavali,rati.date46@synnotech.com,8022224728,725929628711,1978-03-13,Software Tester,1256429,104702.41666666669,99702.41666666669
23,546258,Bhavin Walia,31,,Kota,bhavin.walia31@synnotech.com,7421810067,812850145135,1993-09-14,Data Scientist,1729051,144087.58333333334,139087.58333333334
24,602630,Anvi Baria,49,,Kanpur,anvi.baria49@synnotech.com,9308141654,244321323463,1975-09-06,Data Scientist,1994885,166240.41666666666,161240.41666666666
25,641835,Nehmat Tata,49,Male,Moradabad,nehmat.tata49@synnotech.com,6447783363,525199649928,1975-02-20,Data Engineer,1366654,113887.83333333331,108887.83333333331
26,709363,Advika Dhaliwal,34,Male,Moradabad,advika.dhaliwal34@synnotech.com,6153180048,683169634689,1990-05-16,Data Engineer,1713582,142798.5,137798.5
27,671576,Taran Rout,54,Female,Kulti,taran.rout54@synnotech.com,9967168585,220505151372,1970-08-01,Data Engineer,857288,71440.66666666667,66440.66666666667
28,642899,Seher Jhaveri,44,Female,Karaikudi,seher.jhaveri44@synnotech.com,8071843581,845467370552,1980-12-22,ETL Developer,908423,75701.91666666667,70701.91666666667
29,616693,Nitya Kashyap,29,Female,Ratlam,nitya.kashyap29@synnotech.com,7741408875,686346284342,1995-12-05,ML Engineer,1624044,135337.0,130337.0
30,817824,Darshit Sahota,27,,Amaravati,darshit.sahota27@synnotech.com,9654841154,585069776578,1997-09-19,Python Developer,853739,71144.91666666667,66144.91666666667
31,647694,Hazel Krishna,48,Male,Shahjahanpur,hazel.krishna48@synnotech.com,7074618586,765440575560,1976-09-14,Data Scientist,1773998,147833.16666666666,142833.16666666666
32,546736,Prerak Kaur,41,Male,Jabalpur,prerak.kaur41@synnotech.com,8910081599,320345326153,1983-06-13,Java Developer,1468760,122396.66666666669,117396.66666666669
33,503583,Shayak Barad,36,Female,Allahabad,shayak.barad36@synnotech.com,6270541505,242112178802,1988-12-19,ML Engineer,1216541,101378.41666666669,96378.41666666669
34,793588,Shaan Kaul,45,Male,North Dumdum,shaan.kaul45@synnotech.com,8980796955,474522221407,1979-06-19,ML Engineer,1525334,127111.16666666669,122111.16666666669
35,840249,Lagan Sachdeva,50,Male,Kozhikode,lagan.sachdeva50@synnotech.com,7887608063,794697955247,1974-02-11,Data Engineer,1565763,130480.25,125480.25
36,682477,Rati Dey,44,,Bhusawal,rati.dey44@synnotech.com,9392215983,61071174906,1980-05-23,Data Scientist,1388739,115728.25,110728.25
37,748293,Darshit Sampath,38,Female,Gudivada,darshit.sampath38@synnotech.com,6587666210,887232671844,1986-12-28,ML Engineer,1677837,139819.75,134819.75
38,882436,Rati Mann,50,Male,Faridabad,rati.mann50@synnotech.com,9287292685,531270500164,1974-09-14,Data Engineer,849822,70818.5,65818.5
39,519396,Drishya Gupta,52,,Bhavnagar,drishya.gupta52@synnotech.com,9299982493,616770948349,1972-05-24,ETL Developer,736282,61356.833333333336,56356.833333333336
40,751616,Hiran Jha,39,Male,Rohtak,hiran.jha39@synnotech.com,7617167039,250516076220,1985-08-22,Data Engineer,836321,69693.41666666667,64693.41666666667
41,731952,Stuvan Hans,31,,Chennai,stuvan.hans31@synnotech.com,6573184770,496442545933,1993-09-29,Data Engineer,1106682,92223.5,87223.5
42,729538,Amira Yohannan,35,,Mumbai,amira.yohannan35@synnotech.com,8356621707,744544405218,1989-03-12,Python Developer,1069026,89085.5,84085.5
43,606698,Samarth Golla,26,,Bhubaneswar,samarth.golla26@synnotech.com,8693915648,380497876234,1998-04-05,Java Developer,1423765,118647.08333333331,113647.08333333331
44,608434,Lakshit Chanda,46,Female,Bhagalpur,lakshit.chanda46@synnotech.com,6666825646,156517584845,1978-04-01,Data Scientist,1934582,161215.16666666666,156215.16666666666
45,881493,Rati Bahri,35,,Bangalore,rati.bahri35@synnotech.com,9845034485,599542437820,1989-01-25,Python Developer,919591,76632.58333333333,71632.58333333333
46,858130,Lagan Warrior,48,Male,Bhavnagar,lagan.warrior48@synnotech.com,7738882357,6334853225,1976-06-26,Python Developer,1232905,102742.08333333331,97742.08333333331
47,758318,Siya Hans,52,Male,Ramagundam,siya.hans52@synnotech.com,9078441025,433885055939,1972-12-05,Java Developer,1159041,96586.75,91586.75
48,635008,Nishith Kumer,24,Male,Kota,nishith.kumer24@synnotech.com,7253058603,513683633800,2000-02-10,ML Engineer,1476975,123081.25,118081.25
49,895304,Kiaan Sama,38,Female,Nagpur,kiaan.sama38@synnotech.com,9165352689,672663442127,1986-08-17,Java Developer,880135,73344.58333333333,68344.58333333333
